restaurant_name,area,revenue,profit
Le Cirque Signature - The Leela Palace,Indiranagar,25800.0,7740.0
Royal Afghan - ITC Windsor,Malleshwaram,21500.0,6450.000000000002
Malties - Radisson Blu,Marathahalli,19350.0,5805.0
Alba - JW Marriott Bengaluru,Church Street,17600.0,5280.0
Masala Klub - The Taj West End,Church Street,17600.0,5280.0
Dakshin - ITC Windsor,Malleshwaram,17200.0,5160.0
Dum Pukht Jolly Nabobs - ITC Windsor,Malleshwaram,17200.0,5160.0
Edo Restaurant & Bar - ITC Gardenia,Brigade Road,17200.0,5160.0
La Brasserie - Le Meridien,Lavelle Road,16810.0,5043.0
Jamavar - The Leela Palace,Indiranagar,16800.0,5040.0
